,country_id,country_code,country_name,default_hist,fiscal_balance_gdp,government_grossdebt_gdp,inflation_data,exports_growth,savings_gdp,externaldebt,exports,reserves,real_gdppc,imports,real_gdpgrowth,real_gnipc,nominal_gdp,political_stability,rule_of_law,govt_effectiveness,m3_gdp,externaldebt/exports,reserves/import,reserves/gdp,log_real_gnipc,predicted_specgrade,Speculative_Grade_Prob,y_hat,(Threshold_Yhat)/sigma,Debt_Distress_prob
0,AF,AFG,Afghanistan,0,-1.378,9.144,-0.662,-11.021,21.387,2636960122.3,1417300546.13462,6976966153.82054,574.184114271258,8461684707.36777,1.45131465458005,,19907111418.9938,-2.571222,-1.50404,-1.322968,32.5635,186.05511226900583,82.45362944976603,35.047606892698994,,,,-3.3810633032827346,-0.35523260665912126,0.4121141053385461
9,BF,BFA,Burkina Faso,0,-2.09,35.613,0.914,8.211,5.603,2631936631.0,3089098202.89416,,726.652011937077,3902427844.37453,3.91255719996406,,11832159275.603,-0.6111074,-0.5233565,-0.6194581,36.2036,85.20080807188818,,,,,,,,
32,ER,ERI,Eritrea,0,-3.139,190.341,28.483,-22.11,31.151,872986739.1,,145070693.229695,,,,,,-0.8767513,-1.487501,-1.593261,106.962,,,,,,,,,
33,ET,ETH,Ethiopia,0,-1.947,54.455,9.569,1.935,31.409,21021009588.6,6047701984.51402,3835287576.46954,482.639066335501,19565924879.078,10.3924630202334,,64589334978.8013,-1.498187,-0.5090271,-0.6467084,,347.5867303386842,19.601872133172932,5.937957989083353,,,,-4.0038653920227985,-0.23592974244837853,0.44128964418760297
34,FJ,FJI,Fiji,0,-3.765,43.045,1.376,,,791750396.2,,918959350.368621,4359.22015083318,,4.66380810435447,,4682546863.08162,0.5803087,-0.4041028,-0.2912866,50.35,,,19.6252034894499,,,,,,
58,LA,LAO,Lao P.D.R.,0,-5.57,53.052,1.278,-4.798,,11641638941.4,4885879999.99509,1068907282.66709,1538.85116913062,7460877985.50254,7.27006584339864,1469.20809463598,14390442307.3996,0.541362,-0.7987303,-0.5105657,,238.2710779104624,14.326829694093865,7.427897349044341,7.29247882348382,,,-0.5456278315058267,-0.8983835998615676,0.28938278132966994
60,LR,LBR,Liberia,0,-4.4,25.88,7.742,4.528,,845577078.8,618531000.0,574780752.726986,571.453129531788,3385051000.0,0.0,521.342411183522,3177000000.0,-0.8180257,-0.8566009,-1.357068,33.9133,136.70730792797775,16.97997320356432,18.091934300503183,6.256407045041663,,,-3.665405308813537,-0.30076455607201125,0.42537059174790387
61,LY,LBY,Libya,0,-130.796,,14.848,8.67,,,11127570228.7866,77649594284.0862,5899.89964685628,20680929626.4118,-8.8620393625491,,27842131479.8726,-2.196628,-1.629265,-1.653111,316.139,,375.4647188824588,278.89242007286686,,,,,,
67,MV,MDV,Maldives,0,-6.789,53.329,1.891,4.954,12.509,1008673783.4,3145104894.24385,575758077.44507,7501.54519042946,2769184611.36448,2.88454852960507,,4109424799.72407,0.4206715,-0.5762654,-0.3758673,42.5636,32.07122869720714,20.791610464763224,14.01067315999382,,,,3.803964792890384,-1.7315838533966328,0.1503850996349514
72,MN,MNG,Mongolia,0,-4.987,,5.736,-16.28,22.42,21939939185.1,5363184214.94454,1322495172.72512,3895.41336222074,5245197251.27406,2.37983580688481,3578.43392382791,11749620619.5962,0.7163844,-0.3797925,-0.4187603,45.3114,409.0841989720257,25.213449740214926,11.255641484453054,8.182680532240232,,,-0.7462881191069292,-0.8599454708363542,0.2973507384862137
87,PG,PNG,Papua New Guinea,0,-4.583,29.931,5.996,13.593,,20386681281.9,,1758569679.62188,2400.50393635317,,9.48354844060211,,21723531173.2409,-0.4221483,-0.8692891,-0.6065412,28.9565,,,8.095229387881888,,,,,,
100,SR,SUR,Suriname,0,-7.985,43.357,6.896,-7.264,53.168,,,330244649.262198,8464.65314161906,,-3.41109586355617,,4787367928.11777,0.2566883,-0.1953805,-0.3458428,57.8157,,,6.898250859779623,,,,,,
101,SY,SYR,Syria,0,,,,,,4419625337.6,,,,,,,,-2.974081,-1.423044,-1.590413,,,,,,,,,,
106,TT,TTO,Trinidad and Tobago,0,-7.889,27.231,4.659,-7.217,27.976,,,9993217471.34719,16840.1208011848,,1.82318469697719,,25062893969.3292,0.2861143,-0.116,0.2324652,66.3015,,,39.872560142401845,,,,,,
115,YE,YEM,Yemen,0,-10.045,65.475,22.0,-37.959,-5.356,7298875773.2,,5344296754.57831,785.338458415123,,-27.9944385179254,,36976204506.0659,-2.680222,-1.271078,-1.627101,32.7087,,,14.453340536077963,,,,,,
117,ZM,ZMB,Zambia,0,-9.539,62.26,10.107,-11.374,40.103,11916829513.6,7889717807.33052,2967626716.43206,1641.00698479925,10021732079.1437,2.91998021228818,,21243347377.3226,0.1516949,-0.229715,-0.5556649,18.3851,151.0425316166289,29.611914317765585,13.969675605832341,,,,-0.8769460305682171,-0.8349168729062162,0.3026064281071479
